Year,Date ,hour,Full or Partial ,Review Method,Observer,Time,Direction,Length,Frame,Range,Confidence,Flow cfs,Comments/Notes,Flag
2025,1/17/2025,22:00,Full,15 min,as,No Fish,,,,,,220,,
2025,1/17/2025,22:15,Full,15 min,as,No Fish,,,,,,220,,
2025,1/17/2025,22:30,Full,15 min,as,No Fish,,,,,,220,,
2025,1/17/2025,22:45,Full,15 min,as,No Fish,,,,,,220,,
2025,1/17/2025,23:00,Full,15 min,as,No Fish,,,,,,220,,
2025,1/17/2025,23:15,Full,15 min,as,No Fish,,,,,,220,,
2025,1/17/2025,23:30,Full,15 min,as,No Fish,,,,,,220,,
2025,1/17/2025,23:45,Full,15 min,as,No Fish,,,,,,220,,
2025,1/18/2025,0:00,Full,15 min,as,No Fish,,,,,,214,,
2025,1/18/2025,0:15,Full,15 min,as,No Fish,,,,,,214,,
2025,1/18/2025,0:30,No Data,,,No Review,,,,,,214,,
2025,1/18/2025,0:45,No Data,,,No Review,,,,,,214,,
2025,1/18/2025,1:00,Full,15 min,as,No Fish,,,,,,214,,
2025,1/18/2025,1:00,Full,15 min,as,No Fish,,,,,,214,,
2025,1/18/2025,1:15,Full,15 min,as,No Fish,,,,,,214,,
2025,1/18/2025,1:30,No Data,,,No Review,,,,,,214,,
2025,1/18/2025,1:45,No Data,,,No Review,,,,,,214,,
2025,1/18/2025,2:00,Full,15 min,as,No Fish,,,,,,214,,
2025,1/18/2025,2:15,Full,15 min,as,No Fish,,,,,,214,,
2025,1/18/2025,2:30,No Data,,,No Review,,,,,,214,,
2025,1/18/2025,2:45,No Data,,,No Review,,,,,,214,,
2025,1/18/2025,3:00,Full,15 min,as,No Fish,,,,,,214,,
2025,1/18/2025,3:15,Full,15 min,as,No Fish,,,,,,214,,
2025,1/18/2025,3:30,No Data,,,No Review,,,,,,214,,
2025,1/18/2025,3:45,No Data,,,No Review,,,,,,214,,
2025,1/18/2025,4:00,Full,15 min,as,No Fish,,,,,,214,,
2025,1/18/2025,4:15,Full,15 min,as,No Fish,,,,,,214,,
2025,1/18/2025,4:30,No Data,,,No Review,,,,,,214,,
2025,1/18/2025,4:45,No Data,,,No Review,,,,,,214,,
2025,1/18/2025,5:00,Full,15 min,as,No Fish,,,,,,214,,
2025,1/18/2025,5:15,Full,15 min,as,No Fish,,,,,,214,,
2025,1/18/2025,5:30,No Data,,,No Review,,,,,,214,,
2025,1/18/2025,5:45,No Data,,,No Review,,,,,,214,,
2025,1/18/2025,6:00,Full,15 min,as,No Fish,,,,,,214,,
2025,1/18/2025,6:15,Full,15 min,as,No Fish,,,,,,214,,
2025,1/18/2025,6:30,No Data,,,No Review,,,,,,214,,
2025,1/18/2025,6:45,No Data,,,No Review,,,,,,214,,
2025,1/18/2025,7:00,Full,15 min,as,No Fish,,,,,,214,,
2025,1/18/2025,7:15,Full,15 min,as,No Fish,,,,,,214,,
2025,1/18/2025,7:30,No Data,,,No Review,,,,,,214,,
2025,1/18/2025,7:45,No Data,,,No Review,,,,,,214,,
2025,1/18/2025,8:00,Full,15 min,as,No Fish,,,,,,214,,
2025,1/18/2025,8:15,Full,15 min,as,No Fish,,,,,,214,,
2025,1/18/2025,8:30,No Data,,,No Review,,,,,,214,,
2025,1/18/2025,8:45,No Data,,,No Review,,,,,,214,,
2025,1/18/2025,9:00,Full,15 min,as,No Fish,,,,,,214,,
2025,1/18/2025,9:15,Full,15 min,as,No Fish,,,,,,214,,
2025,1/18/2025,10:00,Full,15 min,as,No Fish,,,,,,214,,
2025,1/18/2025,11:00,Full,15 min,as,No Fish,,,,,,214,,
2025,1/18/2025,12:00,Full,15 min,as,No Fish,,,,,,214,,
2025,1/18/2025,13:00,Full,15 min,as,No Fish,,,,,,214,,
2025,1/18/2025,14:00,Full,15 min,as,No Fish,,,,,,214,,
2025,1/18/2025,15:00,Full,15 min,as,No Fish,,,,,,214,,
2025,1/18/2025,16:00,Full,15 min,as,No Fish,,,,,,214,,
2025,1/18/2025,16:15,Full,15 min,as,No Fish,,,,,,214,,
2025,1/18/2025,16:30,No Data,,,No Review,,,,,,214,,
2025,1/18/2025,16:45,No Data,,,No Review,,,,,,214,,
2025,1/18/2025,17:00,Full,15 min,as,No Fish,,,,,,214,,
2025,1/18/2025,17:15,Full,15 min,as,No Fish,,,,,,214,,
2025,1/18/2025,17:30,No Data,,,No Review,,,,,,214,,
2025,1/18/2025,17:45,No Data,,,No Review,,,,,,214,,
2025,1/18/2025,18:00,Full,15 min,as,No Fish,,,,,,214,,
2025,1/18/2025,18:15,Full,15 min,as,No Fish,,,,,,214,,
2025,1/18/2025,18:30,No Data,,,No Review,,,,,,214,,
2025,1/18/2025,18:45,No Data,,,No Review,,,,,,214,,
2025,1/18/2025,19:00,Full,15 min,as,No Fish,,,,,,214,,
2025,1/18/2025,19:15,Full,15 min,as,No Fish,,,,,,214,,
2025,1/18/2025,19:30,No Data,,,No Review,,,,,,214,,
2025,1/18/2025,19:45,No Data,,,No Review,,,,,,214,,
2025,1/18/2025,20:00,Full,15 min,as,No Fish,,,,,,214,,
2025,1/18/2025,20:15,Full,15 min,as,No Fish,,,,,,214,,
2025,1/18/2025,20:30,No Data,,,No Review,,,,,,214,,
2025,1/18/2025,20:45,No Data,,,No Review,,,,,,214,,
2025,1/18/2025,21:00,Full,15 min,as,No Fish,,,,,,214,,
2025,1/18/2025,21:15,Full,15 min,as,No Fish,,,,,,214,,
2025,1/18/2025,21:30,No Data,,,No Review,,,,,,214,,
2025,1/18/2025,21:45,No Data,,,No Review,,,,,,214,,
2025,1/18/2025,22:00,Full,15 min,as,No Fish,,,,,,214,,
2025,1/18/2025,22:15,Full,15 min,as,No Fish,,,,,,214,,
2025,1/18/2025,22:30,No Data,,,No Review,,,,,,214,,
2025,1/18/2025,22:45,No Data,,,No Review,,,,,,214,,
2025,1/18/2025,23:00,Full,15 min,as,No Fish,,,,,,214,,
2025,1/18/2025,23:15,Full,15 min,as,No Fish,,,,,,214,,
2025,1/18/2025,23:30,No Data,,,No Review,,,,,,214,,
2025,1/18/2025,23:45,No Data,,,No Review,,,,,,214,,
2025,1/19/2025,0:00,Full,15 min,as,No Fish,,,,,,211,,
2025,1/19/2025,0:15,Full,15 min,as,No Fish,,,,,,211,,
2025,1/19/2025,0:30,Full,15 min,as,No Fish,,,,,,211,,
2025,1/19/2025,0:45,Full,15 min,as,No Fish,,,,,,211,,
2025,1/19/2025,1:00,Full,15 min,as,No Fish,,,,,,211,,
2025,1/19/2025,1:15,Full,15 min,as,No Fish,,,,,,211,,
2025,1/19/2025,1:30,Full,15 min,as,No Fish,,,,,,211,,
2025,1/19/2025,1:45,Full,15 min,as,No Fish,,,,,,211,,
2025,1/19/2025,2:00,Full,15 min,as,No Fish,,,,,,211,,
2025,1/19/2025,2:15,Full,15 min,as,No Fish,,,,,,211,,
2025,1/19/2025,2:30,Full,15 min,as,2:31:12,upstream,38.3,370,18.63,1,211,,
2025,1/19/2025,2:45,Full,15 min,as,No Fish,,,,,,211,,
2025,1/19/2025,3:00,Full,15 min,as,No Fish,,,,,,211,,
2025,1/19/2025,3:15,Full,15 min,as,No Fish,,,,,,211,,
2025,1/19/2025,3:30,Full,15 min,as,No Fish,,,,,,211,,
2025,1/19/2025,3:45,Full,15 min,as,No Fish,,,,,,211,,
2025,1/19/2025,4:00,Full,15 min,as,No Fish,,,,,,211,,
2025,1/19/2025,4:15,Full,15 min,as,No Fish,,,,,,211,,
2025,1/19/2025,4:30,Full,15 min,as,No Fish,,,,,,211,,
2025,1/19/2025,4:45,Full,15 min,as,No Fish,,,,,,211,,
2025,1/19/2025,5:00,Full,15 min,as,No Fish,,,,,,211,,
2025,1/19/2025,5:15,Full,15 min,as,No Fish,,,,,,211,,
2025,1/19/2025,5:30,Full,15 min,as,No Fish,,,,,,211,,
2025,1/19/2025,5:45,Full,15 min,as,No Fish,,,,,,211,,
2025,1/19/2025,6:00,Full,15 min,as,No Fish,,,,,,211,,
2025,1/19/2025,6:15,Full,15 min,as,No Fish,,,,,,211,,
2025,1/19/2025,6:30,Full,15 min,as,No Fish,,,,,,211,,
2025,1/19/2025,6:45,Full,15 min,as,No Fish,,,,,,211,,
2025,1/19/2025,7:00,Full,15 min,as,No Fish,,,,,,211,,
2025,1/19/2025,7:15,Full,15 min,as,No Fish,,,,,,211,,
2025,1/19/2025,7:30,Full,15 min,as,No Fish,,,,,,211,,
2025,1/19/2025,7:45,Full,15 min,as,No Fish,,,,,,211,,
2025,1/19/2025,8:00,Full,15 min,as,No Fish,,,,,,211,,
2025,1/19/2025,8:15,Full,15 min,as,No Fish,,,,,,211,,
2025,1/19/2025,8:30,Full,15 min,as,No Fish,,,,,,211,,
2025,1/19/2025,8:45,Full,15 min,as,No Fish,,,,,,211,,
2025,1/19/2025,9:00,Full,15 min,as,No Fish,,,,,,211,,
2025,1/19/2025,9:15,Full,15 min,as,No Fish,,,,,,211,,
2025,1/19/2025,9:30,Full,15 min,as,No Fish,,,,,,211,,
2025,1/19/2025,9:45,Full,15 min,as,No Fish,,,,,,211,,
2025,1/19/2025,10:00,Full,15 min,as,No Fish,,,,,,211,,
2025,1/19/2025,11:00,Full,15 min,as,11:13:52,downstream,44.9,4327,13.95,1,211,,
2025,1/19/2025,12:00,Full,15 min,as,No Fish,,,,,,211,,
2025,1/19/2025,13:00,Full,15 min,as,No Fish,,,,,,211,,
2025,1/19/2025,14:00,Full,15 min,as,No Fish,,,,,,211,,
2025,1/19/2025,15:00,Full,15 min,as,No Fish,,,,,,211,,
2025,1/19/2025,16:00,Full,15 min,as,No Fish,,,,,,211,,
2025,1/19/2025,16:15,Full,15 min,as,No Fish,,,,,,211,,
2025,1/19/2025,16:30,Full,15 min,as,No Fish,,,,,,211,,
2025,1/19/2025,16:45,Full,15 min,as,No Fish,,,,,,211,,
2025,1/19/2025,17:00,Full,15 min,as,No Fish,,,,,,211,,
2025,1/19/2025,17:15,Full,15 min,as,No Fish,,,,,,211,,
2025,1/19/2025,17:30,Full,15 min,as,No Fish,,,,,,211,,
2025,1/19/2025,17:45,Full,15 min,as,No Fish,,,,,,211,,
2025,1/19/2025,18:00,Full,15 min,as,No Fish,,,,,,211,,
2025,1/19/2025,18:15,Full,15 min,as,No Fish,,,,,,211,,
2025,1/19/2025,18:30,Full,15 min,as,No Fish,,,,,,211,,
2025,1/19/2025,18:45,Full,15 min,as,No Fish,,,,,,211,,
2025,1/19/2025,19:00,Full,15 min,as,No Fish,,,,,,211,,
2025,1/19/2025,19:15,Full,15 min,as,No Fish,,,,,,211,,
2025,1/19/2025,19:30,Full,15 min,as,No Fish,,,,,,211,,
2025,1/19/2025,19:45,Full,15 min,as,No Fish,,,,,,211,,
2025,1/19/2025,20:00,Full,15 min,as,No Fish,,,,,,211,,
2025,1/19/2025,20:15,Full,15 min,as,No Fish,,,,,,211,,
2025,1/19/2025,20:30,Full,15 min,as,No Fish,,,,,,211,,
2025,1/19/2025,20:45,Full,15 min,as,No Fish,,,,,,211,,
2025,1/19/2025,21:00,Full,15 min,as,No Fish,,,,,,211,,
2025,1/19/2025,21:15,Full,15 min,as,No Fish,,,,,,211,,
2025,1/19/2025,21:30,Full,15 min,as,No Fish,,,,,,211,,
2025,1/19/2025,21:45,Full,15 min,as,No Fish,,,,,,211,,
2025,1/19/2025,22:00,Full,15 min,as,No Fish,,,,,,211,,
2025,1/19/2025,22:15,Full,15 min,as,No Fish,,,,,,211,,
2025,1/19/2025,22:30,Full,15 min,as,No Fish,,,,,,211,,
2025,1/19/2025,22:45,Full,15 min,as,No Fish,,,,,,211,,
2025,1/19/2025,23:00,Full,15 min,as,No Fish,,,,,,211,,
2025,1/19/2025,23:15,Full,15 min,as,No Fish,,,,,,211,,
2025,1/19/2025,23:30,Full,15 min,as,No Fish,,,,,,211,,
2025,1/19/2025,23:45,Full,15 min,as,No Fish,,,,,,211,,
2025,1/22/2025,0:00,Full,15 min,as,No Fish,,,,,,200,,
2025,1/22/2025,0:15,Full,15 min,as,0:26:40,downstream,78.5,3640,9.85,1,200,,
2025,1/22/2025,0:30,Full,15 min,as,No Fish,,,,,,200,,
2025,1/22/2025,0:45,Full,15 min,as,0:52:30,downstream,50.8,2352,15.38,1,200,,
2025,1/22/2025,1:00,Full,15 min,as,No Fish,,,,,,200,,
2025,1/22/2025,1:15,Full,15 min,as,No Fish,,,,,,200,,
2025,1/22/2025,1:30,Full,15 min,as,No Fish,,,,,,200,,
2025,1/22/2025,1:45,Full,15 min,as,No Fish,,,,,,200,,
2025,1/22/2025,2:00,Full,15 min,as,No Fish,,,,,,200,,
2025,1/22/2025,2:15,Full,15 min,as,2:28:04,upstream,54.3,4070,16.06,1,200,,
2025,1/22/2025,2:30,Full,15 min,as,No Fish,,,,,,200,,
2025,1/22/2025,2:45,Full,15 min,as,No Fish,,,,,,200,,
2025,1/22/2025,3:00,Full,15 min,as,No Fish,,,,,,200,,
2025,1/22/2025,3:15,Full,15 min,as,No Fish,,,,,,200,,
2025,1/22/2025,3:30,Full,15 min,as,No Fish,,,,,,200,,
2025,1/22/2025,3:45,Full,15 min,as,No Fish,,,,,,200,,
2025,1/22/2025,4:00,Full,15 min,as,No Fish,,,,,,200,,
2025,1/22/2025,4:15,Full,15 min,as,No Fish,,,,,,200,,
2025,1/22/2025,4:30,Full,15 min,as,No Fish,,,,,,200,,
2025,1/22/2025,4:45,Full,15 min,as,No Fish,,,,,,200,,
2025,1/22/2025,5:00,Full,15 min,as,No Fish,,,,,,200,,
2025,1/22/2025,5:15,Full,15 min,as,No Fish,,,,,,200,,
2025,1/22/2025,5:30,Full,15 min,as,No Fish,,,,,,200,,
2025,1/22/2025,5:45,Full,15 min,as,No Fish,,,,,,200,,
2025,1/22/2025,6:00,Full,15 min,as,No Fish,,,,,,200,,
2025,1/22/2025,6:15,Full,15 min,as,No Fish,,,,,,200,,
2025,1/22/2025,6:30,Full,15 min,as,No Fish,,,,,,200,,
2025,1/22/2025,6:45,Full,15 min,as,No Fish,,,,,,200,,
2025,1/22/2025,7:00,Full,15 min,as,No Fish,,,,,,200,,
2025,1/22/2025,7:15,Full,15 min,as,No Fish,,,,,,200,,
2025,1/22/2025,7:30,Full,15 min,as,No Fish,,,,,,200,,
2025,1/22/2025,7:45,Full,15 min,as,No Fish,,,,,,200,,
2025,1/22/2025,8:00,Full,15 min,as,No Fish,,,,,,200,,
2025,1/22/2025,8:15,Full,15 min,as,No Fish,,,,,,200,,
2025,1/22/2025,8:30,Full,15 min,as,No Fish,,,,,,200,,
2025,1/22/2025,8:45,Full,15 min,as,No Fish,,,,,,200,,
2025,1/22/2025,9:00,Full,15 min,as,No Fish,,,,,,200,,
2025,1/22/2025,9:15,Full,15 min,as,No Fish,,,,,,200,,
2025,1/22/2025,9:30,Full,15 min,as,No Fish,,,,,,200,,
2025,1/22/2025,9:45,Full,15 min,as,9:52:39,upstream,64.8,2394,13.15,1,200,,
2025,1/22/2025,10:00,Full,15 min,as,No Fish,,,,,,200,,
2025,1/22/2025,11:00,Full,15 min,as,No Fish,,,,,,200,,
2025,1/22/2025,12:00,Full,15 min,as,No Fish,,,,,,200,,
2025,1/22/2025,13:00,Full,15 min,as,No Fish,,,,,,200,,
2025,1/22/2025,14:00,Full,15 min,as,No Fish,,,,,,200,,
2025,1/22/2025,15:00,Full,15 min,as,No Fish,,,,,,200,,
2025,1/22/2025,16:00,Full,15 min,as,No Fish,,,,,,200,,
2025,1/22/2025,16:15,Full,15 min,as,No Fish,,,,,,200,,
2025,1/22/2025,16:30,Full,15 min,as,No Fish,,,,,,200,,
2025,1/22/2025,16:45,Full,15 min,as,No Fish,,,,,,200,,
2025,1/22/2025,17:00,Full,15 min,as,No Fish,,,,,,200,,
2025,1/22/2025,17:15,Full,15 min,as,17:22:53,downstream,61.8,2459,7.18,1,200,,
2025,1/22/2025,17:30,Full,15 min,as,17:44:46,upstream,42.5,4606,12.58,1,200,,
2025,1/22/2025,17:45,Full,15 min,as,No Fish,,,,,,200,,
2025,1/22/2025,18:00,Full,15 min,as,No Fish,,,,,,200,,
2025,1/22/2025,18:15,Full,15 min,as,18:19:32,upstream,42.4,1416,14.62,1,200,,
2025,1/22/2025,18:30,Full,15 min,as,No Fish,,,,,,200,,
2025,1/22/2025,18:45,Full,15 min,as,No Fish,,,,,,200,,
2025,1/22/2025,19:00,Full,15 min,as,No Fish,,,,,,200,,
2025,1/22/2025,19:15,Full,15 min,as,No Fish,,,,,,200,,
2025,1/22/2025,19:30,Full,15 min,as,No Fish,,,,,,200,,
2025,1/22/2025,19:45,Full,15 min,as,No Fish,,,,,,200,,
2025,1/22/2025,20:00,Full,15 min,as,No Fish,,,,,,200,,
2025,1/22/2025,20:15,Full,15 min,as,No Fish,,,,,,200,,
2025,1/22/2025,20:30,Full,15 min,as,No Fish,,,,,,200,,
2025,1/22/2025,20:45,Full,15 min,as,No Fish,,,,,,200,,
2025,1/22/2025,21:00,Full,15 min,as,No Fish,,,,,,200,,
2025,1/22/2025,21:15,Full,15 min,as,No Fish,,,,,,200,,
2025,1/22/2025,21:30,Full,15 min,as,21:41:36,upstream,71.9,3622,8.3,1,200,,
2025,1/22/2025,21:45,Full,15 min,as,No Fish,,,,,,200,,
2025,1/22/2025,22:00,Full,15 min,as,No Fish,,,,,,200,,
2025,1/22/2025,22:15,Full,15 min,as,22:25:19,downstream,39.7,2284,13.01,1,200,,
2025,1/22/2025,22:30,Full,15 min,as,No Fish,,,,,,200,,
2025,1/22/2025,22:45,Full,15 min,as,No Fish,,,,,,200,,
2025,1/22/2025,23:00,Full,15 min,as,23:09:20,downstream,83.2,2912,13.66,1,200,,
2025,1/22/2025,23:15,Full,15 min,as,No Fish,,,,,,200,,
2025,1/22/2025,23:30,Full,15 min,as,No Fish,,,,,,200,,
2025,1/22/2025,23:45,Full,15 min,as,No Fish,,,,,,200,,
2025,1/26/2025,0:00,Full,15 min,as,No Fish,,,,,,185,,
2025,1/26/2025,0:15,Full,15 min,as,No Fish,,,,,,185,,
2025,1/26/2025,0:30,Full,15 min,as,0:38:40,upstream,38.7,2690,3.04,1,185,,
2025,1/26/2025,0:45,Full,15 min,as,No Fish,,,,,,185,,
2025,1/26/2025,1:00,Full,15 min,as,No Fish,,,,,,185,,
2025,1/26/2025,1:15,Full,15 min,as,No Fish,,,,,,185,,
2025,1/26/2025,1:30,Full,15 min,as,1:39:59,,53,3120,16.08,1,185,,
2025,1/26/2025,1:30,Full,15 min,as,1:40:31,,46.3,3288,20.53,1,185,,
2025,1/26/2025,1:45,Full,15 min,as,No Fish,,,,,,185,,
2025,1/26/2025,2:00,Full,15 min,as,No Fish,,,,,,185,,
2025,1/26/2025,2:15,Full,15 min,as,No Fish,,,,,,185,,
2025,1/26/2025,2:30,Full,15 min,as,No Fish,,,,,,185,,
2025,1/26/2025,2:45,Full,15 min,as,No Fish,,,,,,185,,
2025,1/26/2025,3:00,Full,15 min,as,No Fish,,,,,,185,,
2025,1/26/2025,3:15,Full,15 min,as,No Fish,,,,,,185,,
2025,1/26/2025,3:30,Full,15 min,as,No Fish,,,,,,185,,
2025,1/26/2025,3:45,Full,15 min,as,No Fish,,,,,,185,,
2025,1/26/2025,4:00,Full,15 min,as,No Fish,,,,,,185,,
2025,1/26/2025,4:15,Full,15 min,as,4:23:45,downstream,74.7,8.02,8.02,1,185,,
2025,1/26/2025,4:30,Full,15 min,as,4:41:43,upstream,75.3,3579,8.12,1,185,,
2025,1/26/2025,4:45,Full,15 min,as,No Fish,,,,,,185,,
2025,1/26/2025,5:00,Full,15 min,as,No Fish,,,,,,185,,
2025,1/26/2025,5:15,Full,15 min,as,5:20:09,downstream,57.7,1602,14.77,1,185,,
2025,1/26/2025,5:30,Full,15 min,as,No Fish,,,,,,185,,
2025,1/26/2025,5:45,Full,15 min,as,5:59:52,downstream,73.5,4639,14.35,1,185,,
2025,1/26/2025,6:00,Full,15 min,as,6:14:04,upstream,72.7,4367,6.73,1,185,,
2025,1/26/2025,6:15,Full,15 min,as,No Fish,,,,,,185,,
2025,1/26/2025,6:30,Full,15 min,as,No Fish,,,,,,185,,
2025,1/26/2025,6:45,Full,15 min,as,6:50:31,downstream,76.5,1718,10.51,1,185,,
2025,1/26/2025,6:45,Full,15 min,as,6:54:01,upstream,75.2,2809,12.22,1,185,,
2025,1/26/2025,7:00,Full,15 min,as,No Fish,,,,,,185,,
2025,1/26/2025,7:15,Full,15 min,as,No Fish,,,,,,185,,
2025,1/26/2025,7:30,Full,15 min,as,No Fish,,,,,,185,,
2025,1/26/2025,7:45,Full,15 min,as,No Fish,,,,,,185,,
2025,1/26/2025,8:00,Full,15 min,as,No Fish,,,,,,185,,
2025,1/26/2025,8:15,Full,15 min,as,No Fish,,,,,,185,,
2025,1/26/2025,8:30,Full,15 min,as,No Fish,,,,,,185,,
2025,1/26/2025,8:45,Full,15 min,as,No Fish,,,,,,185,,
2025,1/26/2025,9:00,Full,15 min,as,No Fish,,,,,,185,,
2025,1/26/2025,9:15,Full,15 min,as,No Fish,,,,,,185,,
2025,1/26/2025,9:30,Full,15 min,as,No Fish,,,,,,185,,
2025,1/26/2025,9:45,Full,15 min,as,No Fish,,,,,,185,,
2025,1/26/2025,10:00,Full,15 min,as,No Fish,,,,,,185,,
2025,1/26/2025,10:15,Full,15 min,as,No Fish,,,,,,185,,
2025,1/26/2025,10:30,Full,15 min,as,No Fish,,,,,,185,,
2025,1/26/2025,10:45,Full,15 min,as,No Fish,,,,,,185,,
2025,1/26/2025,11:00,Full,15 min,as,No Fish,,,,,,185,,
2025,1/26/2025,11:15,Full,15 min,as,No Fish,,,,,,185,,
2025,1/26/2025,11:30,Full,15 min,as,No Fish,,,,,,185,,
2025,1/26/2025,11:45,Full,15 min,as,No Fish,,,,,,185,,
2025,1/26/2025,12:00,Full,15 min,as,No Fish,,,,,,185,,
2025,1/26/2025,12:15,Full,15 min,as,No Fish,,,,,,185,,
2025,1/26/2025,12:30,Full,15 min,as,No Fish,,,,,,185,,
2025,1/26/2025,12:45,Full,15 min,as,No Fish,,,,,,185,,
2025,1/26/2025,13:00,Full,15 min,as,No Fish,,,,,,185,,
2025,1/26/2025,13:15,Full,15 min,as,No Fish,,,,,,185,,
2025,1/26/2025,13:30,Full,15 min,as,No Fish,,,,,,185,,
2025,1/26/2025,13:45,Full,15 min,as,No Fish,,,,,,185,,
2025,1/26/2025,14:00,Full,15 min,as,No Fish,,,,,,185,,
2025,1/26/2025,14:15,Full,15 min,as,No Fish,,,,,,185,,
2025,1/26/2025,14:30,Full,15 min,as,No Fish,,,,,,185,,
2025,1/26/2025,14:45,Full,15 min,as,No Fish,,,,,,185,,
2025,1/26/2025,15:00,Full,15 min,as,No Fish,,,,,,185,,
2025,1/26/2025,15:15,Full,15 min,as,No Fish,,,,,,185,,
2025,1/26/2025,15:30,Full,15 min,as,No Fish,,,,,,185,,
2025,1/26/2025,15:45,Full,15 min,as,No Fish,,,,,,185,,
2025,1/26/2025,16:00,Full,15 min,as,No Fish,,,,,,185,,
2025,1/26/2025,16:15,Full,15 min,as,No Fish,,,,,,185,,
2025,1/26/2025,16:30,Full,15 min,as,No Fish,,,,,,185,,
2025,1/26/2025,16:45,Full,15 min,as,No Fish,,,,,,185,,
2025,1/26/2025,17:00,Full,15 min,as,No Fish,,,,,,185,,
2025,1/26/2025,17:15,Full,15 min,as,No Fish,,,,,,185,,
2025,1/26/2025,17:30,Full,15 min,as,No Fish,,,,,,185,,
2025,1/26/2025,17:45,Full,15 min,as,17:48:07,downstream,57.7,966,15.13,1,185,,
2025,1/26/2025,17:45,Full,15 min,as,17:55:08,downstream,72.6,3138,11.62,1,185,,
2025,1/26/2025,18:00,Full,15 min,as,No Fish,,,,,,185,,
2025,1/26/2025,18:15,Full,15 min,as,18:20:49,downstream,51.1,1812,13.06,1,185,,
2025,1/26/2025,18:15,Full,15 min,as,18:24:16,downstream,38.3,2891,5.14,1,185,,
2025,1/26/2025,18:15,Full,15 min,as,18:29:05,upstream,74.7,4406,5.97,1,185,,
2025,1/26/2025,18:30,Full,15 min,as,18:41:49,downstream,72.8,3670,13.76,1,185,,
2025,1/26/2025,18:45,Full,15 min,as,No Fish,,,,,,185,,
2025,1/26/2025,19:00,Full,15 min,as,No Fish,,,,,,185,,
2025,1/26/2025,19:15,Full,15 min,as,No Fish,,,,,,185,,
2025,1/26/2025,19:30,Full,15 min,as,19:33:12,downstream,45.9,997,13.47,1,185,,
2025,1/26/2025,19:45,Full,15 min,as,No Fish,,,,,,185,,
2025,1/26/2025,20:00,Full,15 min,as,No Fish,,,,,,185,,
2025,1/26/2025,20:15,Full,15 min,as,20:15:16,upstream,59.9,75,15.41,1,185,,
2025,1/26/2025,20:30,Full,15 min,as,No Fish,,,,,,185,,
2025,1/26/2025,20:45,Full,15 min,as,No Fish,,,,,,185,,
2025,1/26/2025,21:00,Full,15 min,as,No Fish,,,,,,185,,
2025,1/26/2025,21:15,Full,15 min,as,No Fish,,,,,,185,,
2025,1/26/2025,21:30,Full,15 min,as,21:37:00,upstream,46.3,2192,14.91,1,185,,
2025,1/26/2025,21:45,Full,15 min,as,No Fish,,,,,,185,,
2025,1/26/2025,22:00,Full,15 min,as,No Fish,,,,,,185,,
2025,1/26/2025,22:15,Full,15 min,as,No Fish,,,,,,185,,
2025,1/26/2025,22:30,Full,15 min,as,No Fish,,,,,,185,,
2025,1/26/2025,22:45,Full,15 min,as,No Fish,,,,,,185,,
2025,1/26/2025,23:00,Full,15 min,as,23:11:41,upstream,55.2,3642,20.07,1,185,,
