date_time,year,date,hour,data_recorded,data_reviewed,observer,time,direction,length,frame,range,confidence,comments
2025-02-01T04:00:00Z,2025,2025-02-01,4H 0M 0S,Full,15 min,as,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T04:00:00Z,2025,2025-02-01,4H 0M 0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T04:15:00Z,2025,2025-02-01,4H 15M 0S,Full,15 min,as,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T04:15:00Z,2025,2025-02-01,4H 15M 0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T04:30:00Z,2025,2025-02-01,4H 30M 0S,Full,15 min,as,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T04:30:00Z,2025,2025-02-01,4H 30M 0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T04:45:00Z,2025,2025-02-01,4H 45M 0S,Full,15 min,as,4:58:34,upstream,61.5,4275,7.62,1,NA
2025-02-01T04:45:00Z,2025,2025-02-01,4H 45M 0S,Full,15 min,jw,4:58:30,upstream,60.4,4253,7.58,1,NA
2025-02-01T05:00:00Z,2025,2025-02-01,5H 0M 0S,Full,15 min,as,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T05:00:00Z,2025,2025-02-01,5H 0M 0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T05:15:00Z,2025,2025-02-01,5H 15M 0S,Full,15 min,as,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T05:15:00Z,2025,2025-02-01,5H 15M 0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T05:30:00Z,2025,2025-02-01,5H 30M 0S,Full,15 min,as,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T05:30:00Z,2025,2025-02-01,5H 30M 0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T05:45:00Z,2025,2025-02-01,5H 45M 0S,Full,15 min,as,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T05:45:00Z,2025,2025-02-01,5H 45M 0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T06:00:00Z,2025,2025-02-01,6H 0M 0S,Full,15 min,as,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T06:00:00Z,2025,2025-02-01,6H 0M 0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T06:15:00Z,2025,2025-02-01,6H 15M 0S,Full,15 min,as,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T06:15:00Z,2025,2025-02-01,6H 15M 0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T06:30:00Z,2025,2025-02-01,6H 30M 0S,Full,15 min,as,6:36:11,downstream,72,1949,10.33,1,NA
2025-02-01T06:30:00Z,2025,2025-02-01,6H 30M 0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T06:45:00Z,2025,2025-02-01,6H 45M 0S,Full,15 min,as,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T06:45:00Z,2025,2025-02-01,6H 45M 0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T07:00:00Z,2025,2025-02-01,7H 0M 0S,Full,15 min,as,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T07:00:00Z,2025,2025-02-01,7H 0M 0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T07:15:00Z,2025,2025-02-01,7H 15M 0S,Full,15 min,as,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T07:15:00Z,2025,2025-02-01,7H 15M 0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T07:30:00Z,2025,2025-02-01,7H 30M 0S,Full,15 min,as,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T07:30:00Z,2025,2025-02-01,7H 30M 0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T07:45:00Z,2025,2025-02-01,7H 45M 0S,Full,15 min,as,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T07:45:00Z,2025,2025-02-01,7H 45M 0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T08:00:00Z,2025,2025-02-01,8H 0M 0S,Full,15 min,as,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T08:00:00Z,2025,2025-02-01,8H 0M 0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T08:15:00Z,2025,2025-02-01,8H 15M 0S,Full,15 min,as,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T08:15:00Z,2025,2025-02-01,8H 15M 0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T08:30:00Z,2025,2025-02-01,8H 30M 0S,Full,15 min,as,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T08:30:00Z,2025,2025-02-01,8H 30M 0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T08:45:00Z,2025,2025-02-01,8H 45M 0S,Full,15 min,as,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T08:45:00Z,2025,2025-02-01,8H 45M 0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T09:00:00Z,2025,2025-02-01,9H 0M 0S,Full,15 min,as,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T09:00:00Z,2025,2025-02-01,9H 0M 0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T09:15:00Z,2025,2025-02-01,9H 15M 0S,Full,15 min,as,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T09:15:00Z,2025,2025-02-01,9H 15M 0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T09:30:00Z,2025,2025-02-01,9H 30M 0S,Full,15 min,as,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T09:30:00Z,2025,2025-02-01,9H 30M 0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T09:45:00Z,2025,2025-02-01,9H 45M 0S,Full,15 min,as,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T09:45:00Z,2025,2025-02-01,9H 45M 0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T10:00:00Z,2025,2025-02-01,10H 0M 0S,Full,15 min,as,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T10:00:00Z,2025,2025-02-01,10H 0M 0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T10:15:00Z,2025,2025-02-01,10H 15M 0S,Full,15 min,as,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T10:15:00Z,2025,2025-02-01,10H 15M 0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T10:30:00Z,2025,2025-02-01,10H 30M 0S,Full,15 min,as,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T10:30:00Z,2025,2025-02-01,10H 30M 0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T10:45:00Z,2025,2025-02-01,10H 45M 0S,Full,15 min,as,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T10:45:00Z,2025,2025-02-01,10H 45M 0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T11:00:00Z,2025,2025-02-01,11H 0M 0S,Full,15 min,as,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T11:00:00Z,2025,2025-02-01,11H 0M 0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T11:15:00Z,2025,2025-02-01,11H 15M 0S,Full,15 min,as,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T11:15:00Z,2025,2025-02-01,11H 15M 0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T11:30:00Z,2025,2025-02-01,11H 30M 0S,Full,15 min,as,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T11:30:00Z,2025,2025-02-01,11H 30M 0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T11:45:00Z,2025,2025-02-01,11H 45M 0S,Full,15 min,as,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T11:45:00Z,2025,2025-02-01,11H 45M 0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T12:00:00Z,2025,2025-02-01,12H 0M 0S,Full,15 min,as,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T12:00:00Z,2025,2025-02-01,12H 0M 0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T12:15:00Z,2025,2025-02-01,12H 15M 0S,Full,15 min,as,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T12:15:00Z,2025,2025-02-01,12H 15M 0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T12:30:00Z,2025,2025-02-01,12H 30M 0S,Full,15 min,as,12:31:37,downstream,36,511,10.97,1,NA
2025-02-01T12:30:00Z,2025,2025-02-01,12H 30M 0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T12:45:00Z,2025,2025-02-01,12H 45M 0S,Full,15 min,as,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T12:45:00Z,2025,2025-02-01,12H 45M 0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T13:00:00Z,2025,2025-02-01,13H 0M 0S,Full,15 min,as,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T13:00:00Z,2025,2025-02-01,13H 0M 0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T13:15:00Z,2025,2025-02-01,13H 15M 0S,Full,15 min,as,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T13:15:00Z,2025,2025-02-01,13H 15M 0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T13:30:00Z,2025,2025-02-01,13H 30M 0S,Full,15 min,as,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T13:30:00Z,2025,2025-02-01,13H 30M 0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T13:45:00Z,2025,2025-02-01,13H 45M 0S,Full,15 min,as,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T13:45:00Z,2025,2025-02-01,13H 45M 0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T14:00:00Z,2025,2025-02-01,14H 0M 0S,Full,15 min,as,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T14:00:00Z,2025,2025-02-01,14H 0M 0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T14:15:00Z,2025,2025-02-01,14H 15M 0S,Full,15 min,as,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T14:15:00Z,2025,2025-02-01,14H 15M 0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T14:30:00Z,2025,2025-02-01,14H 30M 0S,Full,15 min,as,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T14:30:00Z,2025,2025-02-01,14H 30M 0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T14:45:00Z,2025,2025-02-01,14H 45M 0S,Full,15 min,as,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T14:45:00Z,2025,2025-02-01,14H 45M 0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T15:00:00Z,2025,2025-02-01,15H 0M 0S,Full,15 min,as,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T15:00:00Z,2025,2025-02-01,15H 0M 0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T15:15:00Z,2025,2025-02-01,15H 15M 0S,Full,15 min,as,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T15:15:00Z,2025,2025-02-01,15H 15M 0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T15:30:00Z,2025,2025-02-01,15H 30M 0S,Full,15 min,as,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T15:30:00Z,2025,2025-02-01,15H 30M 0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T15:45:00Z,2025,2025-02-01,15H 45M 0S,Full,15 min,as,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T15:45:00Z,2025,2025-02-01,15H 45M 0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T16:00:00Z,2025,2025-02-01,16H 0M 0S,Full,15 min,as,16:12:58,downstream,39.1,4097,8.84,1,NA
2025-02-01T16:00:00Z,2025,2025-02-01,16H 0M 0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T16:15:00Z,2025,2025-02-01,16H 15M 0S,Full,15 min,as,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T16:15:00Z,2025,2025-02-01,16H 15M 0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T16:30:00Z,2025,2025-02-01,16H 30M 0S,Full,15 min,as,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T16:30:00Z,2025,2025-02-01,16H 30M 0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T16:45:00Z,2025,2025-02-01,16H 45M 0S,Full,15 min,as,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T16:45:00Z,2025,2025-02-01,16H 45M 0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T17:00:00Z,2025,2025-02-01,17H 0M 0S,Full,15 min,as,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T17:00:00Z,2025,2025-02-01,17H 0M 0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T17:15:00Z,2025,2025-02-01,17H 15M 0S,Full,15 min,as,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T17:15:00Z,2025,2025-02-01,17H 15M 0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T17:30:00Z,2025,2025-02-01,17H 30M 0S,Full,15 min,as,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T17:30:00Z,2025,2025-02-01,17H 30M 0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T17:45:00Z,2025,2025-02-01,17H 45M 0S,Full,15 min,as,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T17:45:00Z,2025,2025-02-01,17H 45M 0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T18:00:00Z,2025,2025-02-01,18H 0M 0S,Full,15 min,as,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T18:00:00Z,2025,2025-02-01,18H 0M 0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T18:15:00Z,2025,2025-02-01,18H 15M 0S,Full,15 min,as,18:15:27,upstream,73.4,140,13.08,1,NA
2025-02-01T18:15:00Z,2025,2025-02-01,18H 15M 0S,Full,15 min,jw,18:15:33,upstream,64.6,171,13.58,1,NA
2025-02-01T18:30:00Z,2025,2025-02-01,18H 30M 0S,Full,15 min,as,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T18:30:00Z,2025,2025-02-01,18H 30M 0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T18:45:00Z,2025,2025-02-01,18H 45M 0S,Full,15 min,as,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T18:45:00Z,2025,2025-02-01,18H 45M 0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T19:00:00Z,2025,2025-02-01,19H 0M 0S,Full,15 min,as,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T19:00:00Z,2025,2025-02-01,19H 0M 0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T19:15:00Z,2025,2025-02-01,19H 15M 0S,Full,15 min,as,19:22:47,upstream,42,2452,6.37,1,NA
2025-02-01T19:15:00Z,2025,2025-02-01,19H 15M 0S,Full,15 min,jw,19:22:42,upstream,38.7,2426,5.45,1,NA
2025-02-01T19:30:00Z,2025,2025-02-01,19H 30M 0S,Full,15 min,as,19:36:37,downstream,63.2,2084,8.03,1,NA
2025-02-01T19:30:00Z,2025,2025-02-01,19H 30M 0S,Full,15 min,as,19:39:30,upstream,60,2998,15.94,1,NA
2025-02-01T19:30:00Z,2025,2025-02-01,19H 30M 0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T19:45:00Z,2025,2025-02-01,19H 45M 0S,Full,15 min,as,19:55:19,downstream,63.5,3255,14.54,1,NA
2025-02-01T19:45:00Z,2025,2025-02-01,19H 45M 0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T20:00:00Z,2025,2025-02-01,20H 0M 0S,Full,15 min,as,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T20:00:00Z,2025,2025-02-01,20H 0M 0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T20:15:00Z,2025,2025-02-01,20H 15M 0S,Full,15 min,as,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T20:15:00Z,2025,2025-02-01,20H 15M 0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T20:30:00Z,2025,2025-02-01,20H 30M 0S,Full,15 min,as,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T20:30:00Z,2025,2025-02-01,20H 30M 0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T20:45:00Z,2025,2025-02-01,20H 45M 0S,Full,15 min,as,20:56:45,upstream,71.3,3710,9.59,1,NA
2025-02-01T20:45:00Z,2025,2025-02-01,20H 45M 0S,Full,15 min,jw,20:56:37,upstream,71.1,3667,8.02,1,NA
2025-02-01T21:00:00Z,2025,2025-02-01,21H 0M 0S,Full,15 min,as,21:05:24,downstream,68.8,1700,15.19,1,NA
2025-02-01T21:00:00Z,2025,2025-02-01,21H 0M 0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T21:15:00Z,2025,2025-02-01,21H 15M 0S,Full,15 min,as,21:16:52,upstream,77,584,11.34,1,NA
2025-02-01T21:15:00Z,2025,2025-02-01,21H 15M 0S,Full,15 min,jw,21:16:56,upstream,66.5,609,11.61,1,NA
2025-02-01T21:30:00Z,2025,2025-02-01,21H 30M 0S,Full,15 min,as,21:44:51,upstream,60.7,4686,8.71,1,NA
2025-02-01T21:30:00Z,2025,2025-02-01,21H 30M 0S,Full,15 min,jw,21:44:49,upstream,55,4679,8.77,1,NA
2025-02-01T21:45:00Z,2025,2025-02-01,21H 45M 0S,Full,15 min,as,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T21:45:00Z,2025,2025-02-01,21H 45M 0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T22:00:00Z,2025,2025-02-01,22H 0M 0S,Full,15 min,as,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T22:00:00Z,2025,2025-02-01,22H 0M 0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T22:15:00Z,2025,2025-02-01,22H 15M 0S,Full,15 min,as,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T22:15:00Z,2025,2025-02-01,22H 15M 0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T22:30:00Z,2025,2025-02-01,22H 30M 0S,Full,15 min,as,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T22:30:00Z,2025,2025-02-01,22H 30M 0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T22:45:00Z,2025,2025-02-01,22H 45M 0S,Full,15 min,as,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T22:45:00Z,2025,2025-02-01,22H 45M 0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T23:00:00Z,2025,2025-02-01,23H 0M 0S,Full,15 min,as,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T23:00:00Z,2025,2025-02-01,23H 0M 0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T23:15:00Z,2025,2025-02-01,23H 15M 0S,Full,15 min,as,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T23:15:00Z,2025,2025-02-01,23H 15M 0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T23:30:00Z,2025,2025-02-01,23H 30M 0S,Full,15 min,as,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T23:30:00Z,2025,2025-02-01,23H 30M 0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T23:45:00Z,2025,2025-02-01,23H 45M 0S,Full,15 min,as,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T23:45:00Z,2025,2025-02-01,23H 45M 0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-12T00:00:00Z,2025,2025-02-12,0S,Full,15 min,as,No Fish,NA,NA,NA,NA,NA,NA
2025-02-12T00:00:00Z,2025,2025-02-12,0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-12T00:15:00Z,2025,2025-02-12,15M 0S,Full,15 min,as,No Fish,NA,NA,NA,NA,NA,NA
2025-02-12T00:15:00Z,2025,2025-02-12,15M 0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-12T00:30:00Z,2025,2025-02-12,30M 0S,Full,15 min,as,No Fish,NA,NA,NA,NA,NA,NA
2025-02-12T00:30:00Z,2025,2025-02-12,30M 0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-12T00:45:00Z,2025,2025-02-12,45M 0S,Full,15 min,as,No Fish,NA,NA,NA,NA,NA,NA
2025-02-12T00:45:00Z,2025,2025-02-12,45M 0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-12T01:00:00Z,2025,2025-02-12,1H 0M 0S,Full,15 min,as,No Fish,NA,NA,NA,NA,NA,NA
2025-02-12T01:00:00Z,2025,2025-02-12,1H 0M 0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-12T01:15:00Z,2025,2025-02-12,1H 15M 0S,Full,15 min,as,1:15:30,downstream,76,149,12.1,1,NA
2025-02-12T01:15:00Z,2025,2025-02-12,1H 15M 0S,Full,15 min,as,1:18:34,upstream,76.1,1102,11.87,1,NA
2025-02-12T01:15:00Z,2025,2025-02-12,1H 15M 0S,Full,15 min,jw,1:15:28,downstream,73.9,138,11.77,1,NA
2025-02-12T01:15:00Z,2025,2025-02-12,1H 15M 0S,Full,15 min,jw,1:18:33,upstream,74,1098,12.03,1,NA
